chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_12	19476446	17391	436504	892.9247	22411.8918	25.0994	Emelampus
scaffold_13	18587889	15576	408091	837.965	21954.6717	26.2	Emelampus
scaffold_14	17881683	14028	403314	784.4899	22554.5884	28.7506	Emelampus
scaffold_15	17268297	13695	397131	793.0718	22997.6934	28.9982	Emelampus
scaffold_16	17058878	13366	400898	783.5216	23500.8422	29.9939	Emelampus
scaffold_17	17012596	13203	403920	776.072	23742.4083	30.593	Emelampus
scaffold_18	16623595	12090	387264	727.2795	23296.044	32.0318	Emelampus
scaffold_19	16525452	12246	375521	741.0387	22723.796	30.6648	Emelampus
scaffold_2	33111916	50086	666104	1512.6277	20116.7459	13.2992	Emelampus
scaffold_3	32831114	48487	644057	1476.8612	19617.2752	13.2831	Emelampus
scaffold_4	28166641	36585	577377	1298.8769	20498.6104	15.7818	Emelampus
scaffold_5	26919463	32640	561095	1212.5056	20843.4693	17.1904	Emelampus
scaffold_6	22006953	21528	485786	978.2363	22074.2054	22.5653	Emelampus
scaffold_7	21414792	20910	477993	976.4279	22320.6931	22.8595	Emelampus
scaffold_8	20514404	19110	456291	931.5406	22242.4692	23.8771	Emelampus
scaffold_9	20474587	18336	422455	895.5492	20633.139	23.0396	Emelampus
scaffold_1	48616380	106835	1249723	2197.5104	25705.8012	11.6977	Emelancholica
scaffold_10	19487202	17391	630226	892.4319	32340.5074	36.2386	Emelancholica
scaffold_11	19286279	17205	609891	892.085	31623.0518	35.4485	Emelancholica
scaffold_12	18815746	15931	594866	846.6845	31615.329	37.3402	Emelancholica
scaffold_13	18117148	15225	579552	840.3641	31989.1409	38.0658	Emelancholica
scaffold_14	17999713	14878	575693	826.5687	31983.4544	38.6942	Emelancholica
scaffold_15	17907027	14706	578086	821.2419	32282.6341	39.3095	Emelancholica
scaffold_16	17560624	14365	563982	818.0233	32116.2847	39.2608	Emelancholica
scaffold_17	17138678	13530	545607	789.4425	31834.8358	40.3257	Emelancholica
scaffold_18	17045919	13530	561207	793.7384	32923.2469	41.4787	Emelancholica
scaffold_19	16840518	13041	536828	774.3824	31877.1667	41.1646	Emelancholica
scaffold_2	35190504	56280	1002305	1599.2951	28482.2576	17.8093	Emelancholica
scaffold_20	16739453	13041	539254	779.0577	32214.5532	41.3507	Emelancholica
scaffold_21	16132322	12246	526670	759.0972	32646.8812	43.0075	Emelancholica
scaffold_3	25285350	30135	787029	1191.7968	31125.8891	26.1168	Emelancholica
scaffold_4	21843077	21945	690092	1004.6661	31593.1679	31.4464	Emelancholica
scaffold_5	21345958	21321	678196	998.8308	31771.6356	31.8088	Emelancholica
scaffold_6	20988759	20301	655313	967.232	31222.0937	32.2798	Emelancholica
scaffold_7	20852165	20100	668976	963.9287	32081.8486	33.2824	Emelancholica
scaffold_8	20098176	18721	627176	931.4776	31205.6179	33.5012	Emelancholica
scaffold_9	19699574	18145	622302	921.0859	31589.6171	34.2961	Emelancholica
scaffold_1	56874635	147257	1134769	2589.1507	19952.1105	7.706	Emeolans
scaffold_10	27418910	34189	620320	1246.9132	22623.8023	18.1438	Emeolans
scaffold_11	26521046	30304	559041	1142.6397	21079.146	18.4478	Emeolans
scaffold_12	22505455	19701	476604	875.3878	21177.2657	24.1919	Emeolans
scaffold_13	21745052	21945	508776	1009.1951	23397.3228	23.1841	Emeolans
scaffold_2	38156413	67777	838723	1776.2938	21981.1805	12.3747	Emeolans
scaffold_3	37620665	66317	817365	1762.7812	21726.4899	12.3251	Emeolans
scaffold_4	37166211	64478	808670	1734.8554	21758.204	12.5418	Emeolans
scaffold_5	36945791	63502	804015	1718.7885	21762.0188	12.6613	Emeolans
scaffold_6	35844204	60010	778724	1674.1898	21725.2418	12.9766	Emeolans
scaffold_7	34087700	53626	748452	1573.1774	21956.6589	13.9569	Emeolans
scaffold_8	32110164	48204	716890	1501.2069	22325.9526	14.872	Emeolans
scaffold_9	31506641	46660	715005	1480.9576	22693.787	15.3237	Emeolans
scaffold_1	66543349	193090	1119516	2901.7175	16823.8602	5.7979	Emnestra
scaffold_10	27065937	27235	465686	1006.2463	17205.6116	17.0988	Emnestra
scaffold_11	20428264	15931	387484	779.8509	18968.0337	24.3226	Emnestra
scaffold_2	49682240	112670	883265	2267.8124	17778.2846	7.8394	Emnestra
scaffold_3	41213121	78058	749379	1894.0085	18183.0199	9.6003	Emnestra
scaffold_4	39859245	72592	752080	1821.2086	18868.3955	10.3604	Emnestra
scaffold_5	35659137	58297	666328	1634.8405	18686.0383	11.4299	Emnestra
scaffold_6	34020831	53284	659559	1566.2169	19386.9162	12.3782	Emnestra
scaffold_7	32972964	49738	634627	1508.448	19246.8897	12.7594	Emnestra
scaffold_8	31186677	44839	602402	1437.7614	19316.0047	13.4348	Emnestra
scaffold_9	30953291	44253	598290	1429.6703	19328.8009	13.5198	Emnestra
scaffold_1	54770530	129502	1312159	2364.4467	23957.391	10.1323	Emontana
scaffold_10	21588913	21115	630856	978.0483	29221.2952	29.8771	Emontana
scaffold_11	21434317	20503	626124	956.5502	29211.2877	30.5382	Emontana
scaffold_12	21365565	20100	606253	940.7661	28375.2384	30.1618	Emontana
scaffold_13	21170507	19306	607841	911.929	28711.6884	31.4846	Emontana
scaffold_14	20105574	17766	580112	883.6356	28853.2921	32.6529	Emontana
scaffold_15	19803385	17578	577353	887.626	29154.2582	32.8452	Emontana
scaffold_16	19650414	17391	587062	885.0195	29875.2993	33.7567	Emontana
scaffold_17	19150571	16290	565155	850.6274	29511.1305	34.6934	Emontana
scaffold_18	19050091	16290	578633	855.114	30374.2906	35.5207	Emontana
scaffold_19	18386664	15051	542655	818.5824	29513.5104	36.0544	Emontana
