repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.Zisupton	170.22	193.18	127.67	234.98	188.35	142.93	101.68	241.37	115.42	113.46	112.18	121.92	105.00	117.93	117.93	136.00	116.00	150.71	74.33	169.37	103.00	246.50	154.36	225.00	104.50	226.11	131.42	114.77	114.77	105.00	54.58	148.26	97.37	83.59	101.52	80.43	117.95	80.40	150.59	108.65	112.61
LINE	135.19	125.16	127.26	127.65	124.65	120.62	152.85	145.15	156.45	172.37	147.53	124.85	143.54	147.63	147.63	136.19	150.22	131.66	137.08	135.64	119.38	121.76	132.11	119.37	152.33	123.63	126.95	129.50	129.50	141.02	124.97	80.00	NA	145.31	131.35	175.16	128.38	132.30	131.99	138.75	132.75
LINE.CR1	244.80	217.10	216.30	204.30	212.23	209.57	195.92	215.36	234.38	219.62	232.72	201.30	283.16	227.14	227.14	190.57	196.99	264.52	234.94	202.36	193.87	229.11	225.39	201.33	250.15	199.42	218.42	215.52	215.52	241.79	231.79	381.66	302.57	209.89	193.00	247.40	212.80	221.34	221.36	216.77	214.01
LINE.CR1-Zenon	170.44	171.46	166.16	152.26	168.35	162.75	175.36	175.54	150.23	149.30	160.57	171.93	179.05	171.56	171.56	162.08	177.75	170.37	187.91	161.19	167.49	148.54	161.69	165.05	195.16	151.19	218.77	156.36	156.36	219.45	166.95	296.64	160.71	162.76	177.46	192.61	159.75	154.53	156.02	185.12	179.56
LINE.CRE	146.73	137.68	133.11	142.51	129.54	129.37	200.93	143.49	149.18	129.74	138.39	179.08	143.67	130.90	130.90	171.50	197.29	131.41	136.56	144.48	127.75	136.84	134.66	132.54	138.37	136.18	138.85	131.13	131.13	133.69	131.59	NA	NA	192.13	191.55	137.88	136.54	131.35	135.61	132.54	138.25
LINE.Dong-R4	271.11	216.31	191.37	229.35	173.33	192.74	186.40	208.92	220.77	261.22	215.49	193.36	324.32	216.05	216.05	174.82	164.43	186.97	204.79	198.25	177.04	244.39	167.23	177.15	272.22	224.08	226.15	200.72	200.72	201.16	188.46	686.01	697.82	255.21	240.27	267.88	186.50	178.28	205.55	225.92	219.41
LINE.I	199.05	224.00	171.57	175.40	199.44	197.00	188.75	176.52	206.45	202.87	187.63	174.34	204.50	229.57	229.57	168.87	163.08	239.13	232.19	170.73	174.05	252.68	198.92	171.45	205.88	191.25	202.58	200.18	200.18	210.84	200.49	310.23	172.01	215.55	177.90	333.88	183.94	204.78	187.33	182.90	194.10
LINE.I-Jockey	334.61	294.00	313.05	294.74	248.13	263.82	240.76	384.57	402.46	424.50	299.86	256.65	434.14	353.56	353.56	219.30	219.93	313.66	296.91	321.61	264.47	338.49	307.97	270.39	418.57	288.64	317.10	287.45	287.45	288.91	280.22	444.43	579.02	247.63	264.45	338.12	309.81	258.55	300.95	313.91	321.93
LINE.L1	1245.95	812.33	734.40	1025.20	1298.75	843.93	478.02	648.26	1047.73	966.99	551.24	600.44	997.85	1281.61	1281.61	518.13	513.91	720.27	450.57	940.20	708.82	1230.72	902.62	621.18	761.56	823.76	852.50	633.18	633.18	417.33	790.24	52.67	205.00	537.28	838.78	883.36	571.03	761.77	643.99	611.74	748.10
LINE.L1-Tx1	203.90	184.99	145.42	215.64	160.90	179.32	206.66	162.37	181.87	177.00	239.30	229.47	277.97	216.33	216.33	197.25	173.50	148.80	181.68	210.02	134.81	197.14	178.92	130.31	206.94	153.86	202.33	162.30	162.30	168.63	200.65	75.07	79.24	247.67	251.45	219.10	162.65	143.09	165.02	194.75	190.50
LINE.L2	181.41	177.16	180.34	168.19	165.02	185.55	177.22	197.72	175.11	173.57	181.39	169.92	201.05	189.76	189.76	170.34	168.15	185.32	183.80	168.18	164.44	174.37	185.23	169.06	200.05	175.19	194.76	181.71	181.71	184.52	193.03	237.20	168.68	160.01	177.28	227.69	183.73	175.67	185.59	179.76	177.91
LINE.Penelope	234.88	181.19	408.01	244.25	142.82	227.30	225.89	309.54	384.88	238.52	278.28	242.99	350.25	304.28	304.28	174.28	211.66	217.42	373.81	267.12	255.95	310.58	248.62	338.23	359.83	216.27	218.39	223.85	223.85	309.29	322.60	157.13	215.55	184.95	196.38	222.35	338.23	269.51	226.73	224.84	315.83
LINE.Proto2	341.24	326.20	331.04	272.49	299.40	300.71	303.48	327.19	326.84	345.36	338.39	298.09	392.45	363.94	363.94	313.14	278.40	361.25	399.41	312.88	235.82	323.41	326.40	239.37	384.57	293.90	336.77	328.80	328.80	386.22	347.16	NA	NA	357.88	347.94	319.06	336.63	288.18	318.08	342.78	314.26
LINE.R1	322.17	324.93	337.20	404.35	331.02	335.96	343.35	409.70	390.55	399.14	363.43	285.53	591.35	369.34	369.34	253.69	296.13	389.20	303.97	287.53	316.68	428.01	348.62	313.34	386.43	277.39	675.73	355.56	355.56	322.91	366.74	519.02	342.52	297.37	278.25	468.08	359.13	339.73	321.03	411.15	359.40
LINE.R1-LOA	244.97	200.62	220.15	225.51	206.72	248.91	175.82	250.65	326.01	341.68	267.69	240.92	284.06	212.31	212.31	186.17	180.83	275.21	212.29	220.80	167.65	220.26	241.43	176.44	289.88	203.40	267.91	211.36	211.36	187.98	219.13	172.78	156.95	201.96	214.12	230.39	197.08	256.64	213.08	223.18	208.30
LINE.R2	NA	34.00	42.00	34.00	56.00	61.50	NA	29.00	46.50	46.00	56.00	44.00	NA	NA	NA	NA	48.00	NA	50.50	57.00	55.67	NA	NA	NA	59.00	53.50	45.33	NA	NA	NA	NA	257.69	NA	NA	NA	NA	42.25	NA	NA	46.00	37.00
LINE.R2-Hero	80.00	NA	92.00	92.00	NA	60.50	117.00	NA	76.33	117.00	84.25	NA	80.00	92.00	92.00	47.50	117.00	88.00	94.00	NA	104.50	81.80	92.00	92.00	103.33	81.50	NA	104.00	104.00	104.50	114.00	184.67	NA	NA	50.00	NA	92.00	NA	NA	NA	NA
LINE.RTE	226.86	191.10	199.38	210.76	169.31	219.56	176.25	225.26	192.26	203.53	224.91	168.92	262.01	216.90	216.90	180.96	164.09	213.40	205.17	168.85	211.29	158.00	249.67	210.13	249.64	203.64	177.58	257.77	257.77	220.68	234.45	270.60	197.48	175.94	177.36	369.73	211.75	178.93	237.11	206.23	190.92
LINE.RTE-BovB	194.99	253.59	284.41	223.24	164.49	160.39	168.06	183.92	189.50	197.29	179.50	169.41	203.20	190.15	190.15	154.69	164.08	190.55	180.36	185.27	157.26	161.08	212.10	160.51	195.28	192.37	287.10	217.22	217.22	178.56	173.69	284.16	137.84	174.80	165.72	191.86	276.96	166.04	219.45	267.61	259.06
LINE.RTE-RTE	164.52	158.07	155.66	151.58	158.25	155.84	184.36	186.50	146.30	152.88	184.41	194.25	190.69	190.87	190.87	183.44	170.54	168.63	162.25	159.82	151.19	161.63	189.59	152.44	209.01	179.38	178.46	175.93	175.93	165.45	161.67	70.38	102.58	166.63	181.86	183.40	154.60	164.42	195.13	155.91	153.57
LINE.RTE-X	NA	36.00	NA	NA	NA	NA	39.00	NA	29.00	50.00	NA	NA	93.00	56.00	56.00	NA	NA	88.75	106.00	54.50	NA	56.00	61.00	NA	61.00	79.00	NA	NA	NA	99.00	62.50	66.75	45.50	47.00	106.00	NA	NA	NA	NA	40.00	NA
Low_complexity	45.45	45.81	45.92	46.08	44.81	46.40	46.09	46.91	46.18	46.50	45.96	55.58	45.75	46.43	46.43	45.61	46.18	46.80	45.20	45.67	46.17	46.84	45.61	46.95	46.22	52.16	46.08	53.28	53.28	45.53	45.66	48.09	46.72	45.81	45.52	45.75	46.85	45.38	46.84	45.42	46.62
LTR	132.22	135.00	133.84	159.62	156.71	256.45	201.11	154.61	121.17	125.33	142.88	174.17	181.09	132.22	132.22	272.17	207.99	211.32	137.14	171.40	189.30	165.90	205.95	186.46	152.23	275.54	122.38	225.95	225.95	132.61	205.80	218.01	90.71	533.02	258.48	228.54	143.13	238.04	236.19	140.97	145.86
LTR.Copia	214.13	263.13	278.66	260.03	229.98	237.64	244.15	258.36	216.91	217.68	215.04	200.98	301.25	245.74	245.74	235.33	208.16	359.52	280.26	231.90	222.07	274.82	233.10	261.56	267.60	265.88	302.46	262.06	262.06	267.45	285.18	721.95	632.53	239.48	237.48	287.13	300.22	246.80	302.34	305.48	301.22
