species	chrom	avg_slope_loglog
X2575	scaffold_2	-0.6172837527081615
X2575	scaffold_20	-0.3587853242066759
X2575	scaffold_21	-0.4706634420649491
X2575	scaffold_22	-0.3724100388467521
X2575	scaffold_23	-0.3213300458265063
X2575	scaffold_24	-0.48439449135849755
X2575	scaffold_25	-0.29690908528739557
X2575	scaffold_26	-0.30052120838943064
X2575	scaffold_27	-0.2567628537723378
X2575	scaffold_28	-0.18129797525220506
X2575	scaffold_3	-0.5353230959537018
X2575	scaffold_4	-0.5765065309520008
X2575	scaffold_5	-0.5164737471251014
X2575	scaffold_6	-0.49820206706364467
X2575	scaffold_7	-0.5453474797765284
X2575	scaffold_8	-0.5156492666863524
X2575	scaffold_9	-0.5520875225373401
X2576	scaffold_1	-0.6488834180872609
X2576	scaffold_10	-0.5342933099179932
X2576	scaffold_11	-0.5945430403127626
X2576	scaffold_12	-0.4882619983453232
X2576	scaffold_13	-0.4985455085945731
X2576	scaffold_14	-0.5457730018881586
X2576	scaffold_15	-0.5587950107287555
X2576	scaffold_16	-0.5639535494731298
X2576	scaffold_17	-0.4395846825484237
X2576	scaffold_18	-0.4059814170512172
X2576	scaffold_19	-0.5366720699684218
X2576	scaffold_2	-0.5841253831331269
X2576	scaffold_20	-0.47047459257081103
X2576	scaffold_21	-0.39606155597247805
X2576	scaffold_22	-0.4072187633883642
X2576	scaffold_23	-0.5144009902301713
X2576	scaffold_24	-0.4894537654315455
X2576	scaffold_25	-0.26168388586419006
X2576	scaffold_26	-0.3891836804783493
X2576	scaffold_27	-0.2836366780620816
X2576	scaffold_28	-0.3461732051253717
X2576	scaffold_3	-0.5675792401142825
X2576	scaffold_4	-0.6085760328889008
X2576	scaffold_5	-0.5720720107670226
X2576	scaffold_6	-0.603823600804119
X2576	scaffold_7	-0.5539541790470087
X2576	scaffold_8	-0.5815451738023251
X2576	scaffold_9	-0.44153100945713825
X3252	scaffold_1	-0.6323081155059297
X3252	scaffold_10	-0.4013743546427228
X3252	scaffold_11	-0.38417246623335277
X3252	scaffold_12	-0.41665848234158664
X3252	scaffold_13	-0.40387656706742714
X3252	scaffold_14	-0.40082421074164126
X3252	scaffold_15	-0.37817697107698905
X3252	scaffold_16	-0.3159815502916699
X3252	scaffold_17	-0.3064431520828176
X3252	scaffold_18	-0.373899681518555
X3252	scaffold_19	-0.30514125209686094
X3252	scaffold_2	-0.46641462747608037
X3252	scaffold_20	-0.39057404806338797
X3252	scaffold_21	-0.3555545139766074
X3252	scaffold_22	-0.39529020616307675
X3252	scaffold_23	-0.3842217593853378
X3252	scaffold_24	-0.20420185705337476
X3252	scaffold_25	-0.271153334001152
X3252	scaffold_26	-0.3072000341110579
X3252	scaffold_27	-0.16153462743054198
X3252	scaffold_28	-0.19688069884781165
X3252	scaffold_29	-2.4929932006147175
X3252	scaffold_3	-0.5174724210297179
X3252	scaffold_4	-0.43603093970605283
X3252	scaffold_5	-0.4084813701718792
X3252	scaffold_6	-0.49279989173550814
X3252	scaffold_7	-0.4731513644017682
X3252	scaffold_8	-0.4634973840280462
X3252	scaffold_9	-0.4164891737809267
X3258	scaffold_1	-0.8432323874766726
X3258	scaffold_10	-0.8572312827001252
X3258	scaffold_11	-0.7852745078051302
X3258	scaffold_2	-0.8432370596912736
X3258	scaffold_3	-0.7958826672497336
X3258	scaffold_4	-0.8135051357645315
X3258	scaffold_5	-0.8445238089474418
X3258	scaffold_6	-0.7698513030890121
X3258	scaffold_7	-0.8920890276684699
X3258	scaffold_8	-0.8239671368588699
X3258	scaffold_9	-0.7933702926971503
X3311	scaffold_1	-0.8193354471381912
X3311	scaffold_10	-0.7475059788921745
X3311	scaffold_11	-0.8321028964240238
X3311	scaffold_12	-0.8085433698058222
X3311	scaffold_13	-0.5986048426524581
X3311	scaffold_14	-0.4979093954880423
X3311	scaffold_2	-0.8270619480418383
X3311	scaffold_3	-0.8349758339706013
X3311	scaffold_4	-0.7842662285962204
X3311	scaffold_5	-0.8333030181478328
X3311	scaffold_6	-0.7566837305048678
X3311	scaffold_7	-0.7855680393929821
X3311	scaffold_8	-0.8133506000285291
X3311	scaffold_9	-0.749664827161836
